회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야
ㅋㅋ 돈이 전부는 아니지만 그만한게 없어요/ 출근없는일,ㅠㅠㅠ 멈출수 없는 일 / 단기 주말 당일 야간 카페 학원 재택 투잡,상시모집,15명 친구와 함께 근무가능,무관,25세(1998년생) ~ 70세(1953년생),무관,,"건별 1,000,000원
협의가능
ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",1년이상 협의가능,요일협의 (전국어디서나 출근없는일),시간협의(전국어디서나 출근없는일(재택/투잡).),"매장관리·판매,고객상담·인바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","고용보험, 인센티브제","개인영업, 사업점운영(지사)"
#방씨기획 #꿀알바 #건당 최대10만원,"[재택근무/당일지급]학생,주부,초보,직장인 누구나 가능 야간,주말도 가능",상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","건별 100,000원
협의가능 당일지급 주급가능",1개월~3개월 협의가능,월~금,10:00~15:00,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",,
쿠팡이츠 [재택근무]],[재택근무] 쿠팡이츠 단순응대 (쉬운업무),2022.12.06 (마감 6일전),00명(인원미정) 친구와 함께 근무가능,무관,무관,고등학교 졸업 이상,유사업무 경험,"월급 2,350,000원",6개월~1년,주5일,12:00~21:00(휴게시간 60분),"고객상담·인바운드,텔레마케팅·아웃바운드,영업관리·지원 초보가능",정규직,"국민연금, 고용보험, 산재보험, 건강보험, 연차, 인센티브제, 퇴직금, 각종 경조금, 경조휴가제",
주식회사 휴먼에스,시급10.000 남자 스크린 제작보조사원 모집,2022.12.06 (마감 6일전),0명(인원미정),남자,25세(1998년생) ~ 45세(1978년생),무관,"유사업무 경험, 인근거주","시급 10,000원
식대별도지급
월~말일 급여일 매월10일",1년이상 협의가능,"주5일 (월, 화, 수, 목, 금)",09:00~18:00,"제조·가공·조립,입출고·창고관리,포장·품질검사 초보가능",정규직,"휴일근로수당, 연장근로수당, 국민연금, 산재보험, 고용보험, 건강보험, 연차","자동화 기계조작원, 조작원"
㈜에스엘아이평생교육원,"무료로 영어실력 확인하고, 집에서 용돈 벌자",2022.12.18 (마감 18일전),00명(인원미정) 친구와 함께 근무가능,무관,무관,무관,영어가능,"건별 70,000원
10,000 ~ 50,000",1주일~1개월 협의가능,요일협의 (개인 자유시간에 응시가능),시간협의(1시간 소요),"외국어·어학원,교육·강사 기타",알바,,
ㅋㅋㅋ A급 꿀알바 100만원 일시불수당 / 출근없는일,ㅋㅋㅋ 심봤다 /유통단기주말당일야간카페휴대폰의류잡화피부미용뷰티재택투잡부업,상시모집,15명 친구와 함께 근무가능,무관,25세(1998년생) ~ 70세(1953년생),무관,,"건별 1,000,000원
협의가능
ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",1년이상 협의가능,요일협의 (전국어디서나 출근없는일),시간협의(전국어디서나 출근없는일(재택/투잡)),"매장관리·판매,고객상담·인바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험","개인영업, 사업점운영(지사)"
클립소프트,주5일/자택근무/당일지급/월400이상,상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관,고등학교 졸업 이상,"컴퓨터활용가능, 유사업무 경험","월급 4,000,000원
당일지급",3개월~6개월 협의가능,월~금,10:00~17:00,텔레마케팅·아웃바운드 초보가능,"알바, 정규직",,
DB무상제공/신입정착금100만/영상교육/어플전자청약,(재택) ㅋㅋ출근없이 월500도전ㅋㅋ,2022.12.19 (마감 19일전),10명 친구와 함께 근무가능,무관,무관 장년가능,무관,유사업무 경험,"건별 1,000,000원
협의가능
사례: 26세대학생 130만/46세주부 560만/58세투잡러 260만 등등 하는만큼 벌어가십니다.(상한x)",1년이상 협의가능,요일협의 (출근X 언제어디든 스마트폰 하나로 계약OK),시간협의(출근X 언제어디든 스마트폰 하나로 계약OK),"고객상담·인바운드,텔레마케팅·아웃바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험",
㈜ 다함케이앤비,"[직방/재택근무]시급12,000원/해피콜/상담/단순OB/꿀알바/화상면접",상시모집,0명(인원미정),무관,무관,무관,"컴퓨터활용가능, 유사업무 경험","시급 12,000원
수습기간있음
시급 12,000원 (주휴수당, 제수당 포함)",3개월~6개월,요일협의 (일요일제외 주5일협의 진행),09:30~18:30(휴게시간 60분),"서비스 기타,사무보조,고객상담·인바운드",알바,"국민연금, 고용보험, 산재보험, 건강보험",
기본급과 매일 시상 과 월인센티브 는400 이상,재택 월500이상 가능 / 집에서하는일 / 건강식품해피콜/최고대우,상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관 장년가능,무관,"컴퓨터활용가능, 군필자, 유사업무 경험, 대학재학생, 대학휴학생","월급 3,500,000원
협의가능
매일 시상 + 월인센티브 = 400 이상",1년이상 협의가능,주5일,시간협의(풀타임/선택제),"텔레마케팅·아웃바운드,고객상담·인바운드,콜센터관리·모니터링 초보가능","알바, 정규직","우수사원 표창/포상, 장기근속자 포상, 정기보너스, 인센티브제, 연차, 각종 경조금, 정기휴가, 장기근속수당, 명절 귀향비 지급, 국민연금, 고용보험, 산재보험, 건강보험, 퇴직연금",
㈜ 다함케이앤비,"[직방/시급12,000원]재택근무/꿀알바/사무보조/아웃바운드",상시모집,00명(인원미정),무관,무관,무관,"컴퓨터활용가능, 유사업무 경험","시급 12,000원
수습기간있음
시급 12,000원 (주휴수당, 제수당 포함),내년 급여인상예정",3개월~6개월,월~금,09:30~18:30(휴게시간 60분),"서비스 기타,텔레마케팅·아웃바운드,사무보조",알바,"국민연금, 고용보험, 산재보험, 건강보험",
기본급과 매일 시상 과 월인센티브 는 300 이상,재택 월300이상 가능 / 집에서하는일 / 간단확인콜 / 오토콜아님,상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관,무관,"컴퓨터활용가능, 군필자, 유사업무 경험, 대학재학생, 대학휴학생","월급 2,850,000원
협의가능
매일 시상 + 월인센티브 =300 이상",1년이상 협의가능,주5일,시간협의(풀타임/선택제),"텔레마케팅·아웃바운드,고객상담·인바운드,설문조사·리서치 초보가능","알바, 정규직","우수사원 표창/포상, 장기근속자 포상, 정기보너스, 인센티브제, 연차, 각종 경조금, 정기휴가, 장기근속수당, 명절 귀향비 지급, 국민연금, 고용보험, 산재보험, 건강보험, 퇴직연금",
주식회사 두잇 (Doeat),[건당평균 10만원] 배달앱 `두잇` 영업 프리랜서 구인 (관악구),상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관,무관,"유사업무 경험, 대학재학생, 대학휴학생","건별 100,000원
주급가능
1인당 목표달성 시 건당평균 10만원. 자세한 내용은 미팅 시 설명",1개월~3개월 협의가능,요일협의,시간협의,오프라인영업·판매 초보가능,위촉직(프리랜서),,
바로상담가능#[한국블로그마케팅],블로그기자단/건당10만/당일지급/학생/주부/초보/주말/야간/단기,상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관 장년가능,무관,"컴퓨터활용가능, 유사업무 경험, 대학재학생, 대학휴학생","건별 100,000원
협의가능 당일지급 주급가능
급여 협의 가능, 추후 인상 가능",1개월~3개월 협의가능,요일협의,시간협의,"바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",,
㈜라이홀딩스,"[하루1시간, 주4회, 주급 40만원, 신입가능] 사내 마사지사 채용",상시모집,0명(인원미정),여자,23세(2000년생) ~ 39세(1984년생),무관,,"주급 400,000원
주급가능",1년이상 협의가능,"요일협의 (주4회, 협의)",20:00~21:00,피부관리·마사지,알바,,
교육지대㈜,"[교육지대] [재택] 중고등 국어,영어 타이핑 작업자 모집 공고",2022.12.04 (마감 4일전),00명(인원미정),무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 유사업무 경험","건별 1,600원
자세한 급여는 아래 상세페이지 참조해주세요.",1년이상,요일협의 (재택근무입니다),시간협의(재택근무입니다),"사무보조,문서작성·자료조사,편집·교정·교열",위촉직(프리랜서),,"국어, 영어"
