회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야,인원_추가사항,연령_추가사항,급여_추가사항,급여형태,급여금액,근무기간_추가사항,근무요일_추가사항,근무시간_추가사항
㈜세금환급도움센터,"[하루4시간, 월급120만원, 고수입]단순기업체 미수금파악 업무",2022.12.11,00명,무관,23세(2000년생) ~ 49세(1974년생),고등학교 졸업 이상,없음,"['월급', '1,200,000원']",1년이상,주4일,09:00~13:00,설문조사·리서치 초보가능,알바,없음,없음,인원미정,없음,없음,월급,"1,200,000원",협의가능,없음,없음
DB무상제공/신입정착금100만/영상교육/어플전자청약,(재택) ㅎㅎ인생 한강물 아니면 한강뷰ㅎㅎ,2022.12.19,10명,무관,무관,무관,유사업무 경험,"['건별', '1,000,000원', '협의가능', '사례: 26세대학생 130만/46세주부 560만/58세투잡러 260만 등등 하는만큼 벌어가십니다.(상한x)']",1년이상,요일협의,시간협의,"고객상담·인바운드,텔레마케팅·아웃바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험",없음,친구,장년가능,"협의가능,사례: 26세대학생 130만/46세주부 560만/58세투잡러 260만 등등 하는만큼 벌어가십니다.(상한x)",건별,"1,000,000원",협의가능,(출근X 언제어디든 스마트폰 하나로 계약OK),(출근X 언제어디든 스마트폰 하나로 계약OK)
모닝듀화장지,"블로그,인스타그램,영상촬영 및 편집 가능자 (재택)",상시모집,00명,무관,무관,무관,유사업무 경험,"['월급', '2,000,000원']",6개월~1년,주5일,09:00~18:00,"웹·모바일디자인,그래픽·영상·편집디자인","알바, 계약직",없음,없음,인원미정,없음,없음,월급,"2,000,000원",없음,없음,없음
에프알엘코리아주식회사,[유니클로] 현대시티몰 가든파이브점 풀타이머 모집합니다,2022.12.01,0명,무관,무관,고등학교 졸업 이상,"유사업무 경험, 대학재학생, 대학휴학생","['연봉', '32,600,000원', '수습기간있음', '1분 단위 연장 및 야근 수당 별도 지급/ 성과급 포함']",1년이상,월~일,시간협의,"의류·잡화·쥬얼리매장,매장관리·판매,서비스 기타,유니클로 브랜드",계약직,"국민연금, 고용보험, 산재보험, 건강보험, 야간근로수당, 연장근로수당",없음,"인원미정,친구",없음,"수습기간있음,1분 단위 연장 및 야근 수당 별도 지급/ 성과급 포함",연봉,"32,600,000원",없음,없음,"(오전, 오후 교대근무)"
[[ 확실한성공 ]] [[ 무자본창업 ]] 프리드라이프,[[[ 확실한성공 ]]] [[[ 무자본창업 ]]] 프리드 전국사업점 모집,상시모집,15명,무관,25세(1998년생) ~ 70세(1953년생),무관,없음,"['건별', '1,000,000원', '협의가능', 'ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ']",1년이상,요일협의,시간협의,"금융·보험영업,바이럴·SNS마케팅,휴대폰·전자기기매장 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험","개인영업, 사업점운영(지사)",친구,없음,"협의가능,ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",건별,"1,000,000원",협의가능,(전국어디서나 출근없는일),(전국어디서나 출근없는일(재택/투잡))
ㅋㅋ 화끈한 일시불 거침없이 쏩니다 / 온라인 화상교육,000 요즘 투잡 기본입니다 / 출근없는 재택투잡 단기 당일부업 야간주말,상시모집,15명,무관,25세(1998년생) ~ 70세(1953년생),무관,없음,"['건별', '1,000,000원', '협의가능', 'ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ']",1년이상,요일협의,시간협의,"금융·보험영업,바이럴·SNS마케팅,의류·잡화·쥬얼리매장 초보가능","알바, 위촉직(프리랜서)","고용보험, 인센티브제","개인영업, 사업점운영(지사)",친구,없음,"협의가능,ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",건별,"1,000,000원",협의가능,(전국어디서나 출근없는일),(전국어디서나 출근없는일(재택/투잡))
㈜미니원,"도시재생/농촌공간 계획 (비상근,정규직/재택가능)",2022.12.19,1명,무관,무관,대학(4년제) 졸업 이상,"컴퓨터활용가능, 포토샵가능, 업무 관련 자격증 소지, 파워포인트가능, 유사업무 경험","['연봉', '36,000,000원', '협의가능']",1년이상,월~금,시간협의,문서작성·자료조사,"정규직, 계약직","국민연금, 고용보험, 산재보험, 건강보험, 연차, 월차, 정기휴가, 퇴직금, 장기근속자 포상, 중식제공, 주차가능","도시재생사업계획, 농촌공간계획",없음,없음,협의가능,연봉,"36,000,000원",협의가능,없음,없음
ㅋㅋ 돈이 전부는 아니지만 그만한게 없어요/ 출근없는일,ㅠㅠㅠ 멈출수 없는 일 / 단기 주말 당일 야간 카페 학원 재택 투잡,상시모집,15명,무관,25세(1998년생) ~ 70세(1953년생),무관,없음,"['건별', '1,000,000원', '협의가능', 'ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ']",1년이상,요일협의,시간협의,"매장관리·판매,고객상담·인바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","고용보험, 인센티브제","개인영업, 사업점운영(지사)",친구,없음,"협의가능,ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",건별,"1,000,000원",협의가능,(전국어디서나 출근없는일),(전국어디서나 출근없는일(재택/투잡).)
#방씨기획 #꿀알바 #건당 최대10만원,"[재택근무/당일지급]학생,주부,초보,직장인 누구나 가능 야간,주말도 가능",상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능']",1개월~3개월,월~금,10:00~15:00,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",없음,협의가능 당일지급 주급가능,건별,"100,000원",협의가능,없음,없음
쿠팡이츠 [재택근무]],[재택근무] 쿠팡이츠 단순응대 (쉬운업무),2022.12.06,00명,무관,무관,고등학교 졸업 이상,유사업무 경험,"['월급', '2,350,000원']",6개월~1년,주5일,12:00~21:00,"고객상담·인바운드,텔레마케팅·아웃바운드,영업관리·지원 초보가능",정규직,"국민연금, 고용보험, 산재보험, 건강보험, 연차, 인센티브제, 퇴직금, 각종 경조금, 경조휴가제",없음,"인원미정,친구",없음,없음,월급,"2,350,000원",없음,없음,(휴게시간 60분)
